City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Saint-Leu,RE,73.4,broken clouds,-21.15,55.28,La Caz Oceane
5,Hambantota,LK,80.51,overcast clouds,6.12,81.12,Bungalow 63
6,Ribeira Grande,PT,75.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
12,Castro,BR,78.96,broken clouds,-24.79,-50.01,CHACARA BAILLY
15,Aklera,IN,78.06,clear sky,24.42,76.57,hotel sangam palace
17,Mangochi,MW,86.32,scattered clouds,-14.48,35.26,Eunice Guesthouse
18,Luanda,AO,73.22,clear sky,-8.84,13.23,EPIC SANA Luanda
21,Buala,SB,79.59,few clouds,-8.14,159.59,Maringe Lagoon Lodge
27,Rikitea,PF,72.72,overcast clouds,-23.12,-134.97,Pension Maro'i
30,Salinopolis,BR,85.19,few clouds,-0.61,-47.36,Hotel Salinópolis
31,Arraial Do Cabo,BR,78.8,scattered clouds,-22.97,-42.03,Pousada Porto Praia
34,Ciamis,ID,73.33,light rain,-7.33,108.35,The Priangan Boutique Hotel @ Yos Sudarso
37,Vaini,TO,71.6,light rain,-21.2,-175.2,Keleti Beach Resort
40,Sabang,ID,81.64,light rain,5.89,95.32,Hotel Citra
42,Kapaa,US,75.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
51,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
53,Hithadhoo,MV,83.3,light rain,-0.6,73.08,Scoop Guest House
55,Kavieng,PG,82.24,scattered clouds,-2.57,150.8,Nusa Island Retreat
56,Teguise,ES,77.0,scattered clouds,29.06,-13.56,B&B La Casona de Nazaret
58,Faya,SA,73.4,clear sky,18.39,42.45,مقبرة ال مجمل
60,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
63,Cockburn Town,TC,87.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
64,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
65,Hirara,JP,79.97,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
68,Avarua,CK,71.6,scattered clouds,-21.21,-159.78,Paradise Inn
69,Hilo,US,72.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
72,Kamalasai,TH,77.81,moderate rain,16.34,103.58,ห้างทองเยาวราช 1999
79,Do Gonbadan,IR,84.2,clear sky,30.36,50.8,مهمانسرا و تالار فرهنگیان شهرستان گچساران
85,Cabedelo,BR,86.0,broken clouds,-6.98,-34.83,Lua Mansa Pousada
86,Martaban,MM,78.03,moderate rain,16.53,97.61,Lu Wa Gyi Guest House
87,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
88,Padang,ID,78.84,overcast clouds,-0.95,100.35,Mercure Padang
93,Ponta Delgada,PT,71.6,broken clouds,37.73,-25.67,Vila Nova Hotel
94,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
95,Tiarei,PF,75.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
101,Atuona,PF,77.85,light rain,-9.8,-139.03,Villa Enata
103,Faanui,PF,78.67,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Teavaro,PF,75.2,few clouds,-17.5,-149.77,SOFITEL KIA ORA MOOREA BEACH RESORT
106,Kalmunai,LK,81.99,overcast clouds,7.42,81.82,VS Villa
107,Meulaboh,ID,77.5,overcast clouds,4.14,96.13,Kost Pria
108,Buchanan,LR,78.8,light rain,5.88,-10.05,Kamaneahn Hotel Inc
115,Butaritari,KI,81.14,broken clouds,3.07,172.79,Isles Sunset Lodge
117,Mangrol,IN,81.1,clear sky,21.12,70.12,Hotel The Royal Honours
121,Kolokani,ML,84.47,broken clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
122,Siyabuswa,ZA,75.2,light rain,-25.11,29.04,Uluju properties
123,San Quintin,MX,83.48,clear sky,30.48,-115.95,Old Mill Hotel
130,Katsuura,JP,71.6,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
131,Quatre Cocos,MU,71.6,few clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
132,Ambulu,ID,75.94,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
138,Nhulunbuy,AU,77.0,overcast clouds,-12.23,136.77,East Arnhem Real Estate
140,Saint-Philippe,RE,73.4,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
142,Lucapa,AO,76.37,broken clouds,-8.42,20.74,Residência Ulisses Dos Santos
144,Atambua,ID,71.17,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
146,Mmabatho,ZA,75.2,few clouds,-25.85,25.63,Mahikeng Guest Apartments
147,Bambous Virieux,MU,71.6,few clouds,-20.34,57.76,Casa Tia Villa
153,Manokwari,ID,80.08,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
159,Gniezno,PL,71.01,broken clouds,52.53,17.58,Hotel Feniks
161,Mackay,AU,71.6,overcast clouds,-21.15,149.2,International Lodge Motel
163,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
165,Santiago De Cuba,CU,87.8,scattered clouds,20.02,-75.82,Cubanacan San Felix
168,Banda Aceh,ID,79.65,moderate rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
169,Lorengau,PG,81.68,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
172,Bambanglipuro,ID,77.18,light rain,-7.95,110.28,Puri Brata
173,Kovur,IN,85.48,overcast clouds,14.48,79.98,Pleasant Stay
174,Vila Franca Do Campo,PT,71.6,broken clouds,37.72,-25.43,Pestana Bahia Praia
175,Tura,IN,75.51,moderate rain,25.52,90.22,Hotel RIKMAN Continental
176,Skhisma,GR,77.0,clear sky,35.27,25.72,"Blue Palace, a Luxury Collection Resort and Spa, Crete"
177,Antalaha,MG,72.34,clear sky,-14.9,50.28,Hotel Vitasoa
179,Pasighat,IN,78.96,broken clouds,28.07,95.33,Siang Guest House
180,Itarema,BR,86.23,scattered clouds,-2.92,-39.92,Windvillage
183,Hobyo,SO,78.75,scattered clouds,5.35,48.53,Osmani Hotel
184,Pangai,TO,76.95,light rain,-19.8,-174.35,Ha'apai Beach Resort
185,Bambari,CF,77.45,scattered clouds,5.77,20.68,Hotel-Restaurant BIBICH
186,Ichhawar,IN,74.97,clear sky,23.02,77.02,Ram mandira
187,Sao Filipe,CV,82.47,clear sky,14.9,-24.5,Tortuga B&B
188,Victoria,HK,82.99,light rain,22.29,114.16,Mini Hotel Central
206,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
211,San Pedro,PH,80.6,light rain,14.35,121.02,OYO 412 Viewfort Venue
212,Caravelas,BR,84.02,clear sky,-17.71,-39.25,Pousada dos Navegantes
214,Galesong,ID,73.4,few clouds,-5.32,119.37,Sapriadi Appy
216,Tondano,ID,77.0,scattered clouds,1.3,124.91,Villa Bella
217,Nha Trang,VN,82.4,scattered clouds,12.25,109.18,Hanoi Golden Hotel
221,Anloga,GH,84.2,few clouds,5.79,0.9,Pin Drop Hotel
223,Balabagan,PH,79.23,moderate rain,7.53,124.11,Lobregat Cottage
227,Port Blair,IN,79.41,heavy intensity rain,11.67,92.75,Fortune Resort Bay Island
229,Kavaratti,IN,81.27,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
230,Cotonou,BJ,82.4,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
232,Limbang,MY,78.8,broken clouds,4.75,115.0,Purnama Hotel
238,Acandi,CO,86.31,light rain,8.51,-77.28,Hotel Patio Bonito
243,San Patricio,MX,84.2,clear sky,19.22,-104.7,Hotel Cabo Blanco
248,Astakos,GR,78.8,few clouds,38.54,21.08,Giannis Village Resort
250,Isangel,VU,70.07,few clouds,-19.55,169.27,Volcano Sea View Tree House
252,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
254,Blythe,US,78.8,clear sky,33.61,-114.6,Rodeway Inn & Suites
260,Tevaitoa,PF,78.98,few clouds,-16.78,-151.5,Hôtel Raiatea Lodge
261,Bagli,IN,73.81,broken clouds,22.65,76.35,Goswami Vila
263,Yulara,AU,78.8,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
264,Durant,US,72.0,clear sky,33.99,-96.37,Holiday Inn Express & Suites Durant
268,Kourou,GF,89.6,broken clouds,5.16,-52.65,Lodge Takini 4
270,Laguna,US,71.6,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
273,Bugo,PH,77.0,broken clouds,8.51,124.76,Chloe's Tiny Rooms
275,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
276,Half Moon Bay,US,72.0,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
278,Bandarban,BD,76.8,moderate rain,22.2,92.23,Hotel Plaza
279,Labuhan,ID,80.89,scattered clouds,-6.88,112.21,bador sepret
281,Pitimbu,BR,86.0,broken clouds,-7.47,-34.81,Reserva do Abiaí
284,Sitrah,BH,89.6,clear sky,26.15,50.62,Al Bander Resort - منتجع البندر
286,Lufilufi,WS,77.0,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
293,Alice Springs,AU,84.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
296,Champerico,GT,84.2,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
298,Aguimes,ES,77.0,scattered clouds,27.91,-15.45,Hotel Villa de Aguimes
299,Jawhar,SO,78.28,overcast clouds,2.78,45.5,cosoble spare parts
303,Saint George,US,71.6,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
304,Mlonggo,ID,81.55,scattered clouds,-6.53,110.7,Asia Metal Art
305,Biharamulo,TZ,70.66,broken clouds,-2.63,31.31,Annex Lodge
