City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port-Cartier,CA,50.03,-66.87,55.99,47,40,6.93,scattered clouds
1,Krasnoselkup,RU,65.7,82.47,32.36,94,100,24.0,overcast clouds
2,Uvalde,US,29.37,-99.77,81.0,61,40,6.93,scattered clouds
3,Arcata,US,40.87,-124.08,53.6,100,90,2.89,fog
4,Saint-Leu,RE,-21.15,55.28,73.4,83,75,13.87,broken clouds
5,Hambantota,LK,6.12,81.12,80.51,77,93,16.73,overcast clouds
6,Ribeira Grande,PT,38.52,-28.7,75.2,64,40,17.22,scattered clouds
7,East London,ZA,-33.02,27.91,60.8,100,75,10.29,light rain
8,Thompson,CA,55.74,-97.86,37.4,66,75,2.24,broken clouds
9,Albany,US,42.6,-73.97,61.0,60,51,1.01,broken clouds
10,Talcahuano,CL,-36.72,-73.12,53.6,58,20,10.29,few clouds
11,Yar-Sale,RU,66.83,70.83,32.29,93,70,18.21,broken clouds
12,Castro,BR,-24.79,-50.01,78.96,55,58,10.94,broken clouds
13,Beckley,US,37.78,-81.19,62.6,54,40,4.7,scattered clouds
14,Gunnedah,AU,-30.98,150.25,48.2,93,0,3.36,light rain
15,Aklera,IN,24.42,76.57,78.06,41,0,2.77,clear sky
16,Sorland,NO,67.67,12.69,52.66,77,0,15.21,clear sky
17,Mangochi,MW,-14.48,35.26,86.32,30,26,0.67,scattered clouds
18,Luanda,AO,-8.84,13.23,73.22,85,0,17.4,clear sky
19,Liepaja,LV,56.54,21.04,59.0,87,79,18.34,broken clouds
20,Busselton,AU,-33.65,115.33,52.0,55,73,9.13,broken clouds
21,Buala,SB,-8.14,159.59,79.59,80,13,5.95,few clouds
22,Pevek,RU,69.7,170.31,32.31,91,100,2.98,overcast clouds
23,Khatanga,RU,71.97,102.5,18.88,97,42,11.05,scattered clouds
24,Kodiak,US,57.79,-152.41,46.4,93,90,3.36,overcast clouds
25,Tuktoyaktuk,CA,69.45,-133.04,42.8,93,90,10.29,light rain
26,Ushuaia,AR,-54.8,-68.3,48.2,49,40,4.7,scattered clouds
27,Rikitea,PF,-23.12,-134.97,72.72,77,99,18.34,overcast clouds
28,Punta Arenas,CL,-53.15,-70.92,48.2,57,40,34.45,scattered clouds
29,Puerto Madryn,AR,-42.77,-65.04,54.12,37,0,12.03,clear sky
30,Salinopolis,BR,-0.61,-47.36,85.19,65,11,14.34,few clouds
31,Arraial Do Cabo,BR,-22.97,-42.03,78.8,88,27,20.8,scattered clouds
32,Victor Rosales,MX,22.95,-102.7,55.4,58,5,9.01,clear sky
33,Nikel,RU,69.41,30.22,48.2,81,98,17.22,overcast clouds
34,Ciamis,ID,-7.33,108.35,73.33,91,78,2.06,light rain
35,Oksfjord,NO,70.24,22.35,51.8,71,40,27.51,scattered clouds
36,Cape Town,ZA,-33.93,18.42,66.99,68,20,8.05,few clouds
37,Vaini,TO,-21.2,-175.2,71.6,100,90,9.17,light rain
38,Jamestown,US,42.1,-79.24,53.01,75,90,3.36,overcast clouds
39,Ahipara,NZ,-35.17,173.17,50.38,82,0,2.08,clear sky
40,Sabang,ID,5.89,95.32,81.64,75,100,12.66,light rain
41,Illapel,CL,-31.63,-71.17,64.62,31,71,9.28,broken clouds
42,Kapaa,US,22.08,-159.32,75.2,94,20,8.05,few clouds
43,Shimoda,JP,34.67,138.95,62.01,92,90,3.51,overcast clouds
44,Zhanaozen,KZ,43.3,52.8,58.87,34,99,4.25,overcast clouds
45,Kruisfontein,ZA,-34.0,24.73,59.0,92,99,4.0,light rain
46,Nikolskoye,RU,59.7,30.79,60.01,62,94,11.18,overcast clouds
47,Inuvik,CA,68.35,-133.72,41.0,93,75,3.36,light intensity shower rain
48,Pangnirtung,CA,66.15,-65.71,32.0,89,75,4.16,light snow
49,Nanortalik,GL,60.14,-45.24,37.18,86,66,10.6,broken clouds
50,Bilibino,RU,68.05,166.44,21.34,90,83,1.3,broken clouds
51,Los Llanos De Aridane,ES,28.66,-17.92,77.0,73,20,16.11,few clouds
52,Dikson,RU,73.51,80.55,33.49,90,100,19.75,overcast clouds
53,Hithadhoo,MV,-0.6,73.08,83.3,76,84,13.0,light rain
54,Ripoll,ES,42.2,2.19,55.0,74,94,2.28,overcast clouds
55,Kavieng,PG,-2.57,150.8,82.24,77,33,7.63,scattered clouds
56,Teguise,ES,29.06,-13.56,77.0,65,40,19.46,scattered clouds
57,Mar Del Plata,AR,-38.0,-57.56,51.01,52,75,12.75,broken clouds
58,Faya,SA,18.39,42.45,73.4,14,2,11.41,clear sky
59,Hobart,AU,-42.88,147.33,51.8,93,90,3.36,moderate rain
60,Ponta Do Sol,PT,32.67,-17.1,77.0,65,20,10.29,few clouds
61,Port Alfred,ZA,-33.59,26.89,62.13,82,94,21.34,light rain
62,Airai,TL,-8.93,125.41,57.96,96,69,2.59,broken clouds
63,Cockburn Town,TC,21.46,-71.14,87.8,66,40,17.22,scattered clouds
64,Alofi,NU,-19.06,-169.92,75.2,94,100,8.05,overcast clouds
65,Hirara,JP,24.8,125.28,79.97,75,61,14.45,broken clouds
66,Fuyang,CN,32.9,115.82,58.1,84,100,7.83,light rain
67,Severo-Kurilsk,RU,50.68,156.12,45.23,76,100,7.76,overcast clouds
68,Avarua,CK,-21.21,-159.78,71.6,83,42,2.24,scattered clouds
69,Hilo,US,19.73,-155.09,72.0,68,1,5.82,clear sky
70,Dir,PK,35.21,71.88,60.75,38,0,5.23,clear sky
71,Saldanha,ZA,-33.01,17.94,66.2,59,0,9.17,clear sky
72,Kamalasai,TH,16.34,103.58,77.81,89,100,2.24,moderate rain
73,Bluff,NZ,-46.6,168.33,55.0,95,100,18.01,light rain
74,Zyryanka,RU,65.75,150.85,28.09,97,0,6.26,clear sky
75,Moche,PE,-8.17,-79.01,66.42,74,56,10.96,broken clouds
76,Shingu,JP,33.73,135.98,67.84,84,72,2.53,broken clouds
77,Bredasdorp,ZA,-34.53,20.04,60.8,82,86,13.87,overcast clouds
78,Bud,US,39.45,-86.18,60.01,44,75,3.36,broken clouds
79,Do Gonbadan,IR,30.36,50.8,84.2,45,0,1.66,clear sky
80,Qarqin,AF,37.42,66.04,63.72,27,20,6.11,few clouds
81,Cabo San Lucas,MX,22.89,-109.91,91.99,49,5,3.36,clear sky
82,Mataura,NZ,-46.19,168.86,55.0,95,99,18.01,moderate rain
83,Chulman,RU,56.85,124.91,29.25,95,79,7.92,broken clouds
84,Richards Bay,ZA,-28.78,32.04,67.55,93,100,12.26,light rain
85,Cabedelo,BR,-6.98,-34.83,86.0,55,75,16.11,broken clouds
86,Martaban,MM,16.53,97.61,78.03,90,100,1.72,moderate rain
87,Georgetown,MY,5.41,100.34,80.6,88,40,6.93,light rain
88,Padang,ID,-0.95,100.35,78.84,74,97,3.22,overcast clouds
89,Pacific Grove,US,36.62,-121.92,59.0,82,1,6.93,haze
90,Hami,CN,42.8,93.45,57.87,29,100,8.25,overcast clouds
91,New Norfolk,AU,-42.78,147.06,51.01,86,100,0.67,light rain
92,Carnarvon,AU,-24.87,113.63,60.8,59,0,24.16,clear sky
93,Ponta Delgada,PT,37.73,-25.67,71.6,78,75,13.87,broken clouds
94,Puerto Ayora,EC,-0.74,-90.35,75.2,64,75,16.11,broken clouds
95,Tiarei,PF,-17.53,-149.33,75.2,78,20,4.7,few clouds
96,Ancud,CL,-41.87,-73.82,53.6,46,0,8.05,clear sky
97,Yafran,LY,32.06,12.53,93.94,10,54,15.75,broken clouds
98,Kozhva,RU,65.11,57.05,33.22,94,19,6.38,few clouds
99,Torbay,CA,47.67,-52.73,69.01,94,90,28.86,overcast clouds
100,Codrington,AU,-38.27,141.97,53.96,90,100,4.21,moderate rain
101,Atuona,PF,-9.8,-139.03,77.85,77,32,27.49,light rain
102,Hermanus,ZA,-34.42,19.23,61.0,83,45,4.0,scattered clouds
103,Faanui,PF,-16.48,-151.75,78.67,75,25,19.08,scattered clouds
104,Teavaro,PF,-17.5,-149.77,75.2,78,20,4.7,few clouds
105,Hovd,MN,48.01,91.64,34.95,75,0,2.24,clear sky
106,Kalmunai,LK,7.42,81.82,81.99,74,85,4.18,overcast clouds
107,Meulaboh,ID,4.14,96.13,77.5,80,100,4.52,overcast clouds
108,Buchanan,LR,5.88,-10.05,78.8,94,75,6.93,light rain
109,La Mana,EC,-0.93,-79.22,59.0,58,75,12.75,broken clouds
