City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.03,78.55,72,0,17.43,PF,2020-09-30 00:47:55
1,Kamenka,51.32,42.77,50.0,47,100,11.97,RU,2020-09-30 00:55:05
2,Rikitea,-23.12,-134.97,70.25,79,71,21.85,PF,2020-09-30 00:50:48
3,Ribeira Grande,38.52,-28.7,66.47,69,1,10.29,PT,2020-09-30 00:48:44
4,Vestmanna,62.16,-7.17,51.8,81,98,21.92,FO,2020-09-30 00:48:39
5,Butaritari,3.07,172.79,82.36,75,8,13.09,KI,2020-09-30 00:47:23
6,Pevek,69.7,170.31,39.27,74,100,19.6,RU,2020-09-30 00:48:33
7,Cape Town,-33.93,18.42,55.0,76,54,10.29,ZA,2020-09-30 00:55:06
8,Birao,10.28,22.79,72.39,95,100,4.32,CF,2020-09-30 00:55:06
9,Lompoc,34.64,-120.46,62.6,82,1,14.99,US,2020-09-30 00:55:07
10,Channel-Port Aux Basques,47.57,-59.14,59.76,95,21,12.26,CA,2020-09-30 00:55:07
11,Qasigiannguit,68.82,-51.19,28.4,63,91,5.82,GL,2020-09-30 00:55:07
12,Awbari,26.59,12.78,78.85,19,0,5.41,LY,2020-09-30 00:55:07
13,Bathsheba,13.22,-59.52,82.4,83,75,20.8,BB,2020-09-30 00:55:08
14,Victoria,22.29,114.16,84.99,85,34,1.99,HK,2020-09-30 00:48:23
15,Gamba,-2.65,10.0,74.16,77,100,3.87,GA,2020-09-30 00:55:09
16,Mataura,-46.19,168.86,42.71,94,100,5.41,NZ,2020-09-30 00:47:42
17,Mahebourg,-20.41,57.7,71.6,88,75,6.93,MU,2020-09-30 00:48:44
18,Faanui,-16.48,-151.75,78.49,79,39,23.31,PF,2020-09-30 00:48:05
19,Aklavik,68.22,-135.01,41.0,80,75,6.93,CA,2020-09-30 00:47:48
20,Teahupoo,-17.83,-149.27,87.8,55,40,6.93,PF,2020-09-30 00:55:09
21,Jamestown,42.1,-79.24,60.01,81,90,6.93,US,2020-09-30 00:47:43
22,Yaan,7.38,8.57,70.57,98,96,3.51,NG,2020-09-30 00:55:10
23,Pisco,-13.7,-76.22,62.6,82,19,17.22,PE,2020-09-30 00:49:04
24,Puerto Ayora,-0.74,-90.35,68.0,89,65,5.99,EC,2020-09-30 00:47:17
25,Nanortalik,60.14,-45.24,35.31,77,0,19.46,GL,2020-09-30 00:48:18
26,Qaanaaq,77.48,-69.36,14.59,78,7,5.41,GL,2020-09-30 00:47:41
27,Katherine,-14.47,132.27,89.6,49,40,8.05,AU,2020-09-30 00:55:11
28,Kodiak,57.79,-152.41,48.2,87,90,28.86,US,2020-09-30 00:47:46
29,Hobart,-42.88,147.33,62.01,67,75,10.29,AU,2020-09-30 00:47:04
30,Ushuaia,-54.8,-68.3,33.8,80,40,13.87,AR,2020-09-30 00:55:12
31,Lata,40.16,-8.33,64.0,86,100,1.68,PT,2020-09-30 00:48:07
32,Buin,-33.73,-70.75,53.6,62,0,11.41,CL,2020-09-30 00:55:12
33,Port Alfred,-33.59,26.89,55.53,71,57,5.55,ZA,2020-09-30 00:51:42
34,Hilo,19.73,-155.09,84.2,70,1,11.41,US,2020-09-30 00:45:42
35,Busselton,-33.65,115.33,62.01,81,93,11.14,AU,2020-09-30 00:47:42
36,Albany,42.6,-73.97,62.01,81,100,3.58,US,2020-09-30 00:52:23
37,Punta Arenas,-53.15,-70.92,33.8,86,40,26.4,CL,2020-09-30 00:47:40
38,Luangwa,-15.62,30.42,78.58,46,9,4.38,ZM,2020-09-30 00:55:13
39,Saskylakh,71.92,114.08,27.95,96,3,5.57,RU,2020-09-30 00:47:40
40,Tuktoyaktuk,69.45,-133.04,37.4,93,90,2.24,CA,2020-09-30 00:47:53
41,Marawi,8.0,124.29,78.01,79,78,3.0,PH,2020-09-30 00:55:14
42,Bengkulu,-3.8,102.27,79.5,76,76,5.86,ID,2020-09-30 00:49:00
43,Bambanglipuro,-7.95,110.28,81.36,73,65,9.73,ID,2020-09-30 00:51:40
44,Rawson,-43.3,-65.1,47.7,84,100,7.85,AR,2020-09-30 00:55:15
45,Taunton,51.02,-3.1,46.99,90,33,1.01,GB,2020-09-30 00:55:15
46,Yulara,-25.24,130.99,73.4,46,0,12.75,AU,2020-09-30 00:48:16
47,Rantepao,-2.97,119.9,77.81,68,26,2.33,ID,2020-09-30 00:55:15
48,Whitehorse,60.72,-135.05,50.0,37,75,10.29,CA,2020-09-30 00:47:51
49,Yumen,40.28,97.2,47.1,51,0,13.33,CN,2020-09-30 00:48:41
50,Carnarvon,-24.87,113.63,66.2,59,0,16.11,AU,2020-09-30 00:48:47
51,Mana,5.66,-53.78,79.21,85,98,7.63,GF,2020-09-30 00:49:05
52,Huarmey,-10.07,-78.15,62.29,83,83,7.47,PE,2020-09-30 00:44:59
53,Chapais,49.78,-74.85,53.6,76,90,6.93,CA,2020-09-30 00:46:02
54,Ixtapa,20.7,-105.2,87.8,70,40,8.05,MX,2020-09-30 00:55:17
55,Vaini,-21.2,-175.2,80.6,83,90,14.99,TO,2020-09-30 00:55:17
56,Chumikan,54.72,135.31,48.81,67,0,13.2,RU,2020-09-30 00:48:58
57,Yellowknife,62.46,-114.35,43.0,87,75,12.75,CA,2020-09-30 00:55:18
